service	usage_type	item_description	name	unblended_cost
mrt	USW2-EBS:VolumeUsage	$0.05 per GB-month of Magnetic provisioned storage - US West (Oregon)	uc3-mrtistatus-stg /dev/sdb	0.550000008
mrt	USW2-EBS:SnapshotUsage	$0.05 per GB-Month of snapshot data stored - US West (Oregon)	uc3-mrtistatus-dev /dev/sdb	0.541147327
mrt	USW2-EBS:VolumeIOUsage	$0.05 per 1 million I/O requests - US West (Oregon)	uc3-mrtaudit2-prd /dev/xvda	0.5296887
mrt	USW2-EBS:SnapshotUsage	$0.05 per GB-Month of snapshot data stored - US West (Oregon)	uc3-mrtexpress-prd-2c /dev/sdb	0.523754773
mrt	USW2-EBS:SnapshotUsage	$0.05 per GB-Month of snapshot data stored - US West (Oregon)	uc3-mrtistatus-dev /dev/xvda	0.473602535
mrt	USW2-EBS:VolumeIOUsage	$0.05 per 1 million I/O requests - US West (Oregon)	uc3-mrtaudit1-prd /dev/xvda	0.44136105
mrt	USW2-EBS:VolumeIOUsage	$0.05 per 1 million I/O requests - US West (Oregon)	uc3-mrtaudit4-prd /dev/xvda	0.40036825
mrt	USW2-EBS:VolumeIOUsage	$0.05 per 1 million I/O requests - US West (Oregon)	uc3-mrtaudit3-prd /dev/xvda	0.3949717
mrt	USW2-EBS:SnapshotUsage	$0.05 per GB-Month of snapshot data stored - US West (Oregon)	uc3-mrtexpress-dev /dev/xvda	0.383823414
mrt	USW2-DataTransfer-Regional-Bytes	$0.010 per GB - regional data transfer - in/out/between EC2 AZs or using elastic IPs or ELB	uc3-mrtaudit3-prd	0.297087542
mrt	USW2-DataTransfer-Out-Bytes	$0.090 per GB - first 10 TB / month data transfer out beyond the global free tier	uc3-mrtreplic2-dev	0.28807451
mrt	USW2-DataTransfer-Regional-Bytes	$0.010 per GB - regional data transfer - in/out/between EC2 AZs or using elastic IPs or ELB	uc3-mrtaudit1-prd	0.282046749
mrt	USW2-DataTransfer-Regional-Bytes	$0.010 per GB - regional data transfer - in/out/between EC2 AZs or using elastic IPs or ELB	uc3-mrtaudit4-prd	0.279885285
mrt	USW2-EBS:SnapshotUsage	$0.05 per GB-Month of snapshot data stored - US West (Oregon)	uc3-mrtinv2-stg /dev/sdb	0.278730739
mrt	USW2-EBS:SnapshotUsage	$0.05 per GB-Month of snapshot data stored - US West (Oregon)	uc3-mrtreplic1-dev /dev/sdb	0.254749445
mrt	USW2-BoxUsage:t2.small	$0.0232 per On Demand Linux t2.small Instance Hour	uc3-mrtweb2-stg	0.201703606
mrt	USW2-EBS:SnapshotUsage	$0.05 per GB-Month of snapshot data stored - US West (Oregon)	uc3-mrtreplic2-stg /dev/sdc	0.199798241
mrt	USW2-EBS:SnapshotUsage	$0.05 per GB-Month of snapshot data stored - US West (Oregon)	uc3-mrtreplic1-prd /dev/sdc	0.198581881
